id,service_id,sort_order,name_en,name_ar,description_ar,notion_name,notion_page_id,active
off.content_calendar_production,svc.social_media_management,10,Content Calendar Production,إنتاج تقويم المحتوى,تخطيط وإنتاج نظام المحتوى الدوري للسوشيال ميديا، من تحديد ما سيتم نشره وحتى تجهيز المحتوى المطلوب للنشر.,Content Calendar Production,3daaf9a5-de1a-8186-af9f-fe74e65c164d,yes
off.community_management,svc.social_media_management,20,Community Management,إدارة المجتمع,إدارة تواصل البراند مع الجمهور من خلال التعليقات والرسائل والاستفسارات واستخراج أهم ملاحظات الجمهور.,Community Management,3daaf9a5-de1a-81ef-838e-f154402e886a,yes
off.website_building,svc.website_management,30,Website Building,بناء الموقع,بحث وتخطيط وبناء وتطوير الموقع بالكامل، بما يشمل تجربة المستخدم UX وتصميم الواجهات UI والتنفيذ الفني.,Website Building,3daaf9a5-de1a-81b8-9b9a-ce0134d2fc8a,yes
off.seo,svc.website_management,40,SEO,الظهور في البحث (SEO),تحسين قدرة الموقع وصفحاته على الظهور في نتائج البحث والوصول للمستخدمين الباحثين عن المنتجات أو الخدمات.,SEO,3daaf9a5-de1a-817c-b10e-c2153795d426,yes
off.google_ads,svc.performance_marketing,50,Google Ads,إعلانات Google,تخطيط وتشغيل ومتابعة وتحسين الحملات الإعلانية على Google لتحقيق الأهداف التسويقية المحددة.,Google Ads,3daaf9a5-de1a-8149-b7f2-dcfc8ad52fb3,yes
off.meta_ads,svc.performance_marketing,60,Meta Ads,إعلانات Meta,تخطيط وتشغيل ومتابعة وتحسين الحملات المدفوعة على Facebook وInstagram.,Meta Ads,3daaf9a5-de1a-8145-a658-e4ce1cd457b2,yes
off.tiktok_ads,svc.performance_marketing,70,TikTok Ads,إعلانات TikTok,تخطيط وتشغيل ومتابعة وتحسين الحملات المدفوعة على TikTok بما يناسب طبيعة المنصة والجمهور.,TikTok Ads,3daaf9a5-de1a-8136-803c-c21546a06b45,yes
